0,1,2,3,4,neighbourhood
0.5962247657551814,0.4859015262567823,0.2634730538922156,0.4107142857142857,1.0,East Village
0.3101319419782982,0.3246529274812815,0.7335329341317366,0.03571428571428571,0.0,Bay Ridge
0.2725981369683268,0.4963352591187231,0.18562874251497008,0.0,1.0,Gravesend
0.7172398721556021,0.7890833836337379,0.1317365269461078,0.25,1.0,Astoria
0.472450624197549,0.46658618608256575,0.5748502994011977,0.017857142857142856,0.0,Gowanus
0.48277651815226363,0.668922997326888,0.7485029940119761,0.7321428571428571,0.0,Bedford-Stuyvesant
0.5084273499603711,0.54298525480732,0.2844311377245509,0.4107142857142857,1.0,Fort Greene
0.5344606222853514,0.7388548762610867,0.14970059880239522,0.017857142857142856,1.0,Bushwick
0.5935203649575129,0.491506424075169,0.37425149700598803,0.10714285714285714,0.0,East Village
0.6261097604283208,0.4877123393981151,0.29940119760479045,0.4107142857142857,1.0,Gramercy
0.5479279919140936,0.6498232301457278,0.2155688622754491,0.03571428571428571,1.0,Williamsburg
0.6504493676072798,0.5253513839786024,0.595808383233533,0.4107142857142857,0.0,Murray Hill
0.8656541098696948,0.6211951366732364,0.16467065868263475,0.4107142857142857,1.0,Harlem
0.4933482667249365,0.7670949383461334,0.22455089820359284,0.017857142857142856,1.0,Bedford-Stuyvesant
0.6296063594394496,0.75588514270936,0.08682634730538923,0.0,1.0,Sunnyside
0.5478187231950074,0.6987582995602679,0.23353293413173654,0.08928571428571427,0.0,Briarwood
0.43497145354713496,0.49982754160555487,0.14970059880239522,0.0,1.0,South Slope
0.6711284726964806,0.7225575579891483,0.23053892215568864,0.8571428571428571,1.0,Long Island City
0.5140546889938946,0.6340432870570112,0.2694610778443114,0.5,1.0,Bedford-Stuyvesant
0.5127161471849462,0.7538587565749708,0.1347305389221557,0.14285714285714285,0.0,Bushwick
0.46807987543364504,0.5810123307752519,0.3592814371257485,0.05357142857142857,0.0,Crown Heights
0.6483732619444282,0.6709924980598316,0.6736526946107785,0.10714285714285714,0.0,Long Island City
0.6071516376649129,0.4853841510735606,0.4041916167664671,0.10714285714285714,0.0,East Village
0.5779222553063477,0.4911183926877243,0.47904191616766467,0.3571428571428571,0.0,Lower East Side
0.3099953560794262,0.415452272139305,0.14970059880239522,0.0,1.0,Bensonhurst
0.6876280492801783,0.5712684314909211,0.7784431137724551,0.017857142857142856,0.0,Midtown
0.6103204305187404,0.4934465810123356,0.44910179640718567,0.0,0.0,East Village
0.7358975059414803,0.5022850737259432,0.5239520958083833,0.0,0.0,Upper West Side
0.8673204578359162,0.6390876950935649,0.44910179640718567,0.4107142857142857,0.0,Harlem
0.5946403693282747,0.4084677071656415,0.24550898203592816,0.4107142857142857,1.0,SoHo
0.698418335291052,0.5936017935673021,0.3293413173652695,0.1607142857142857,1.0,Upper East Side
0.5588002294643104,0.39178235750625845,0.9820359281437127,0.4107142857142857,0.0,Civic Center
0.7067773923020155,0.4740018970423421,0.44910179640718567,0.10714285714285714,0.0,Hell's Kitchen
0.507280028409852,0.6987582995602679,0.23952095808383234,0.19642857142857142,0.0,St. Albans
0.5796978719916837,0.4757695955850636,0.38922155688622756,0.0,1.0,Lower East Side
0.5602753571721024,0.6572820557040586,0.17964071856287425,0.017857142857142856,1.0,Williamsburg
0.70169639686398,0.4679658532378994,0.19161676646706588,0.017857142857142856,1.0,Hell's Kitchen
